player_id,effective_on,rank,reason
5thstump,2026-07-20,5,9- sign-up post
aentity,2026-07-20,5,9- sign-up post
aggy,2026-07-20,9,9- sign-up post
akhi,2026-08-20,8,Discord role roster
ankhas,2026-07-20,9,9- sign-up post
arsenic,2026-07-20,7,9- sign-up post
aussy,2026-07-13,8,sign-up post
bang_bang,2026-08-01,8,8- sign-up post
bray,2026-08-20,11,Discord role roster
caita,2026-07-20,7,9- sign-up post
camzy,2026-07-13,8,sign-up post
ceiza,2026-07-13,7,sign-up post
chaddy,2026-08-01,6,8- sign-up post
cheesey,2026-08-01,7,8- sign-up post
chef_ram,2026-07-20,9,9- sign-up post
chonglee,2026-08-20,11,Discord role roster
chuffy,2026-08-01,6,8- sign-up post
clawssy,2026-08-01,6,8- sign-up post
conr,2026-08-01,7,8- sign-up post
creamy,2026-08-01,6,8- sign-up post
curnal,2026-08-01,6,8- sign-up post
delayed,2026-07-20,5,9- sign-up post
dolemite,2026-07-13,7,sign-up post
dolemite,2026-07-20,7,9- sign-up post
dolemite,2026-08-01,7,8- sign-up post
drizzy,2026-07-20,9,9- sign-up post
duq,2026-07-20,7,9- sign-up post
duq,2026-08-01,7,8- sign-up post
dx,2026-07-13,7,sign-up post
dx,2026-07-20,7,9- sign-up post
dyna,2026-07-13,8,sign-up post
dyna,2026-07-20,9,promoted after 19 Jul customs
dzire,2026-07-13,8,sign-up post
faf,2026-08-20,9,Discord role roster
frenchy,2026-08-20,6,Discord role roster
future,2026-07-13,8,sign-up post
garra,2026-07-13,8,sign-up post
garra,2026-08-01,8,8- sign-up post
gooey,2026-07-13,8,sign-up post
gooey,2026-07-20,9,9- sign-up post
guckie,2026-07-20,9,9- sign-up post
gzoumis,2026-07-13,6,sign-up post
haiyz,2026-08-01,6,8- sign-up post
hardyy,2026-07-13,5,sign-up post
hassi,2026-08-20,10,Discord role roster
hazard,2026-07-13,8,sign-up post
hazard,2026-07-20,8,9- sign-up post
hi,2026-07-13,8,sign-up post
hooli,2026-07-20,5,9- sign-up post
humz,2026-07-20,7,9- sign-up post
ice,2026-07-13,8,sign-up post
idrxp,2026-07-13,8,sign-up post
inctz,2026-07-20,9,9- sign-up post
jatzy,2026-07-20,8,9- sign-up post
jatzy,2026-08-01,8,8- sign-up post
jay,2026-07-13,8,sign-up post
jay,2026-08-01,8,8- sign-up post
jdz,2026-07-20,9,9- sign-up post
jono,2026-08-20,8,Discord role roster
jords,2026-08-01,6,8- sign-up post
k4ce,2026-07-13,8,sign-up post
kaiba,2026-07-13,8,sign-up post
kaiba,2026-07-20,8,9- sign-up post
kaiba,2026-08-01,8,8- sign-up post
kalon,2026-08-20,10,Discord role roster
kenn,2026-07-13,4,sign-up post
kenner,2026-08-20,11,Discord role roster
kino,2026-07-20,5,9- sign-up post
koby,2026-07-13,8,sign-up post
koby,2026-07-20,8,9- sign-up post
koby,2026-08-01,8,8- sign-up post
lezafort,2026-07-13,8,sign-up post
lezafort,2026-07-20,8,9- sign-up post
lezafort,2026-08-01,8,8- sign-up post
lgks,2026-08-20,7,Discord role roster
light,2026-07-20,9,9- sign-up post
lupin,2026-07-13,7,sign-up post
lupin,2026-07-20,7,9- sign-up post
lupin,2026-08-01,6,8- sign-up post
mamz_au,2026-07-13,7,sign-up post
manemerc,2026-07-13,7,sign-up post
manemerc,2026-07-20,7,9- sign-up post
manemerc,2026-08-01,7,8- sign-up post
meataxe,2026-07-20,4,9- sign-up post
minho,2026-07-13,5,sign-up post
minho,2026-07-20,5,9- sign-up post
minho,2026-08-01,5,8- sign-up post
mint,2026-08-20,8,Discord role roster
miss_fairy,2026-07-20,4,9- sign-up post
moneydemon,2026-08-20,4,Discord role roster
monkey,2026-07-13,6,sign-up post
monkey,2026-07-20,6,9- sign-up post
monkey,2026-08-01,6,8- sign-up post
moose,2026-07-13,6,sign-up post
mr_x,2026-07-13,6,sign-up post
mr_x,2026-08-01,6,8- sign-up post
muk,2026-08-01,7,8- sign-up post
mull,2026-07-13,5,sign-up post
nicc,2026-07-13,8,sign-up post
nzdee,2026-07-13,8,sign-up post
nzdee,2026-08-01,8,8- sign-up post
nzzl,2026-07-13,5,sign-up post
nzzl,2026-08-01,6,8- sign-up post
obricks,2026-07-13,8,sign-up post
obricks,2026-07-20,8,9- sign-up post
obricks,2026-08-01,8,8- sign-up post
og,2026-07-20,9,9- sign-up post
onfleek,2026-07-20,4,9- sign-up post
overtime_au,2026-07-13,8,sign-up post
pengie,2026-08-20,8,Discord role roster
quack,2026-07-13,7,sign-up post
redshiftr,2026-07-20,8,9- sign-up post
redshiftr,2026-08-01,8,8- sign-up post
rmax,2026-08-01,7,8- sign-up post
roccy,2026-08-01,6,8- sign-up post
rybug,2026-07-13,8,sign-up post
sass,2026-07-20,4,9- sign-up post
shan0,2026-07-13,8,sign-up post
shan0,2026-07-20,8,9- sign-up post
shiftey,2026-08-01,4,8- sign-up post
sirdank,2026-08-01,6,8- sign-up post
skabenga,2026-07-13,5,sign-up post
sleepy,2026-07-20,9,9- sign-up post
snowyy,2026-07-20,9,9- sign-up post
spicy,2026-07-13,4,sign-up post
splyce,2026-08-20,8,Discord role roster
syzn,2026-08-01,7,8- sign-up post
termxi,2026-07-20,6,9- sign-up post
trix,2026-07-20,9,9- sign-up post
turbs,2026-07-20,7,9- sign-up post
unrivaled,2026-07-20,9,9- sign-up post
vague,2026-08-20,10,Discord role roster
vgl_(swanny),2026-07-13,7,sign-up post
vgl_(swanny),2026-07-20,7,9- sign-up post
vgl_(swanny),2026-08-01,7,8- sign-up post
wakey,2026-08-20,11,Discord role roster
willybee,2026-07-13,6,sign-up post
willybee,2026-07-20,6,9- sign-up post
zag,2026-07-13,7,sign-up post
zag,2026-08-01,7,8- sign-up post
zaza,2026-08-20,7,Discord role roster
zinc,2026-07-20,9,9- sign-up post
zmoney,2026-07-20,9,9- sign-up post
